title,Amazon Rating,Goodreads Rating,Genre,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher
Practical Demonkeeping (Pine Cove  #1),3.84,3.83,Fiction,Christopher Moore,3.83,60735422,9780060735425,eng,256,37206,1353,5/25/2004,HarperCollins Publishers
The Collection: The Outsiders / Rumble Fish / That Was Then  This Is Now,3.95,4.45,Fiction,S.E. Hinton,4.45,6751156,9780006751151,eng,448,507,31,1/6/1995,HarperCollins Publishers
How to Seduce Your Dream Man,3.9,3.89,Non Fiction,Anna Maxted,3.89,722539010,9780722539019,eng,224,9,2,2/5/2000,HarperCollins Publishers
The Time of the Ghost,4.28,3.66,Fiction,Diana Wynne Jones,3.66,64473546,9780064473545,eng,291,2122,123,1/1/1981,HarperCollins Publishers
Wintersmith (Discworld  #35; Tiffany Aching  #3),3.9,4.24,Fiction,Terry Pratchett,4.24,60890312,9780060890315,eng,325,42146,1230,1/10/2006,HarperCollins Publishers
The Bromeliad Trilogy (Omnibus: Truckers / Diggers / Wings),3.4,4.07,Fiction,Terry Pratchett,4.07,60094931,9780060094935,eng,502,5761,191,9/30/2003,HarperCollins Publishers
The Color of Magic (Discworld  #1; Rincewind  #1),4.01,4,Fiction,Terry Pratchett,4,60855924,9780060855925,eng,228,239617,4478,9/13/2005,HarperCollins Publishers
The Last Hero (Discworld #27; Rincewind #7),4.07,4.17,Fiction,Terry Pratchett/Paul Kidby,4.17,60507772,9780060507770,eng,176,26427,517,8/20/2002,HarperCollins Publishers
The Light Fantastic (Discworld  #2; Rincewind #2),3.71,3.97,Fiction,Terry Pratchett,3.97,61020702,9780061020704,eng,277,91479,2031,2/2/2000,HarperCollins Publishers
Equal Rites (Discworld  #3; Witches  #1),3.89,4.03,Fiction,Terry Pratchett,4.03,60855908,9780060855901,eng,228,110062,2261,9/13/2005,HarperCollins Publishers
Only You Can Save Mankind (Johnny Maxwell  #1),4.18,3.72,Fiction,Terry Pratchett,3.72,60541873,9780060541873,eng,210,9778,317,7/25/2006,HarperCollins Publishers
The Amazing Maurice and His Educated Rodents (Discworld  #28),3.82,4.05,Fiction,Terry Pratchett,4.05,006001234X,9780060012342,eng,256,29309,952,6/11/2001,HarperCollins Publishers
Going Postal (Discworld  #33),4.19,4.38,Fiction,Terry Pratchett,4.38,60013133,9780060013134,en-US,377,969,114,9/28/2004,HarperCollins Publishers
Carpe Jugulum (Discworld #23; Witches #6),4.06,4.14,Fiction,Terry Pratchett,4.14,61051586,9780061051586,eng,296,41899,746,8/9/1999,HarperCollins Publishers
Truckers (Bromeliad Trilogy  #1),3.87,3.92,Fiction,Terry Pratchett,3.92,60094966,9780060094966,eng,261,7464,176,1/4/2004,HarperCollins Publishers
The One Minute Minute Sales Person,3.82,3.78,Fiction,Spencer Johnson,3.78,7104847,9780007104840,eng,109,68,7,1/6/2000,HarperCollins Publishers
Dirt (Stone Barrington  #2),3.64,3.89,Fiction,Stuart Woods,3.89,61094234,9780061094231,en-US,448,6279,274,7/8/1997,HarperCollins Publishers
Cash,3.71,4.07,Non Fiction,Johnny Cash/Patrick   Carr,4.07,60727535,9780060727536,eng,310,17107,566,7/10/2003,HarperCollins Publishers
A Hard Day's Write: The Stories Behind Every Beatles Song,3.82,4.18,Non Fiction,Steve Turner,4.18,62736981,9780062736987,eng,224,2072,100,1/11/1999,HarperCollins Publishers
Mistaken Identity,3.82,2.98,Fiction,Nayantara Sahgal,2.98,8172235224,9788172235222,eng,324,0,0,12/30/2016,HarperCollins Publishers
The Bonesetter's Daughter,4.18,3.99,Fiction,Amy Tan,3.99,6550436,9780006550433,eng,352,437,49,1/10/2004,HarperCollins Publishers
The Opposite of Fate,3.99,3.92,Non Fiction,Amy Tan,3.92,7170408,9780007170401,eng,398,172,11,1/7/2004,HarperCollins Publishers
Your Cheatin' Heart,3.81,3.69,Fiction,Nancy Bartholomew,3.69,61014095,9780061014093,eng,336,72,5,2/2/2000,HarperCollins Publishers
Great Short Works,4.58,4.26,Fiction,Edgar Allan Poe/Gary Richard Thompson,4.26,006083093X,9780060830939,en-US,576,683,13,11/28/1970,HarperCollins Publishers
A Small Pinch of Weather,4.32,4.26,Fiction,Joan Aiken,4.26,6754899,9780006754893,eng,239,122,11,1/1/2000,HarperCollins Publishers
Mary Engelbreit's Mother Goose: One Hundred Best-Loved Verses,3.67,4.37,Fiction,Mary Engelbreit/Leonard S. Marcus,4.37,60081716,9780060081713,en-US,128,567,50,9/20/2005,HarperCollins Publishers
Chester,3.94,3.74,Fiction,Syd Hoff,3.74,64440958,9780064440950,eng,64,196,31,4/18/1986,HarperCollins Publishers
Stanley,4.07,3.61,Fiction,Syd Hoff,3.61,60225351,9780060225353,eng,64,8,1,12/31/1992,HarperCollins Publishers
Grizzwold,3.77,3.82,Fiction,Syd Hoff,3.82,64440575,9780064440578,eng,64,214,23,5/9/1984,HarperCollins Publishers
Captain Cat,3.94,3.65,Fiction,Syd Hoff,3.65,64441768,9780064441766,eng,48,110,15,4/22/1994,HarperCollins Publishers
Her Highness  My Wife (Effingtons  #5),4,3.66,Fiction,Victoria Alexander,3.66,60001445,9780060001445,eng,362,992,47,7/30/2002,HarperCollins Publishers
Sharpe's Prey (Sharpe  #5),4,4.05,Fiction,Bernard Cornwell,4.05,60084537,9780060084530,eng,288,293,23,10/23/2012,HarperCollins Publishers
A Couple of April Fools (The Hamlet Chronicles #6),4,3.48,Fiction,Gregory Maguire/Elaine Clayton,3.48,60760826,9780060760823,eng,240,3,0,1/3/2005,HarperCollins Publishers
The Good Liar,3.95,3.54,Fiction,Gregory Maguire,3.54,64408744,9780064408745,eng,144,125,22,5/28/2002,HarperCollins Publishers
Seven Spiders Spinning (The Hamlet Chronicles  #1),4.02,3.6,Fiction,Gregory Maguire/Dirk Zimmer,3.6,64405958,9780064405959,eng,144,264,30,4/8/1995,HarperCollins Publishers
Three Rotten Eggs (The Hamlet Chronicles  #5),3.82,3.74,Fiction,Gregory Maguire/Elaine Clayton,3.74,60546573,9780060546571,eng,240,79,5,1/18/2005,HarperCollins Publishers
Happiness,3.98,3.79,Non Fiction,Will Ferguson,3.79,006052510X,9780060525101,eng,320,2256,182,3/6/2003,HarperCollins Publishers
The Lion  the Witch and the Wardrobe (Chronicles of Narnia  #1),4.17,4.25,Fiction,Hiawyn Oram/C.S. Lewis/Tudor Humphries,4.25,60556501,9780060556501,eng,48,6307,64,9/21/2004,HarperCollins Publishers
The Lion  the Witch and the Wardrobe (Chronicles of Narnia #2),4.5,4.21,Fiction,C.S. Lewis/Pauline Baynes,4.21,60765488,9780060765484,eng,189,652,70,10/25/2005,HarperCollins Publishers
The Lion  the Witch and the Wardrobe (Narnia),3.79,4.21,Fiction,C.S. Lewis/Pauline Baynes,4.21,60845244,9780060845247,en-US,189,59,7,4/10/2005,HarperCollins Publishers
The Annotated Charlotte's Web,4.24,4.17,Fiction,E.B. White/Garth Williams/Peter F. Neumeyer,4.17,60882603,9780060882600,eng,320,43,2,10/31/2006,HarperCollins Publishers
Letters from the Earth: Uncensored Writings,4.46,4.21,Non Fiction,Mark Twain/Bernard DeVoto/Henry Nash Smith,4.21,60518650,9780060518653,eng,321,6568,376,2/17/2004,HarperCollins Publishers
The God of Small Things,4.25,3.94,Non Fiction,Arundhati Roy,3.94,60977493,9780060977498,en-US,321,6667,722,1/5/1997,HarperCollins Publishers
The Wit &  Wisdom of Winston Churchill,3.86,3.98,Non Fiction,James C. Humes/Richard M. Nixon,3.98,60925779,9780060925772,eng,256,181,15,12/26/2007,HarperCollins Publishers
Savannah Blues (Weezie and Bebe Mysteries  #1),3.45,3.99,Fiction,Mary Kay Andrews,3.99,60519134,9780060519131,en-US,404,16006,1049,10/7/2012,HarperCollins Publishers
Zora Neale Hurston: Critical Perspectives Past And Present (Amistad Literary Series),3.75,4.2,Non Fiction,Henry Louis Gates Jr./Kwame Anthony Appiah,4.2,1567430287,9781567430288,eng,238,24,0,11/2/2000,HarperCollins Publishers
Alas  Babylon,3.61,4.08,Non Fiction,Pat Frank,4.08,60741872,9780060741877,eng,323,33140,2614,5/7/2005,HarperCollins Publishers
Empires of the Monsoon: A History of the Indian Ocean and Its Invaders,3.67,4.39,Non Fiction,Richard Seymour Hall,4.39,6380832,9780006380832,eng,608,67,12,1/1/1998,HarperCollins Publishers
Tell My Horse: Voodoo and Life in Haiti and Jamaica,3.93,3.96,Non Fiction,Zora Neale Hurston,3.96,60916494,9780060916497,eng,311,1450,105,2/28/1990,HarperCollins Publishers
Cookies: Bite-Size Life Lessons,3.93,4.18,Non Fiction,Amy Krouse Rosenthal/Jane Dyer,4.18,006058081X,9780060580810,eng,40,1162,185,2/5/2006,HarperCollins Publishers
Laura Ingalls Wilder Country: The People and places in Laura Ingalls Wilder's life and books,4.04,4.24,Non Fiction,William   Anderson/Leslie A.  Kelly,4.24,60973463,9780060973469,eng,120,91,7,1/12/1995,HarperCollins Publishers
The Princess of the Chalet School,3.51,4.08,Fiction,Elinor M. Brent-Dyer,4.08,000690601X,9780006906018,eng,159,465,21,1/1/2000,HarperCollins Publishers
The Burglar Who Thought He Was Bogart (Bernie Rhodenbarr  #7),3.9,3.89,Fiction,Lawrence Block,3.89,60872799,9780060872793,en-US,400,2134,99,10/31/2006,HarperCollins Publishers
The Burglar Who Painted Like Mondrian (Bernie Rhodenbarr  #5),3.68,3.88,Fiction,Lawrence Block,3.88,60731435,9780060731434,eng,311,2063,103,7/26/2005,HarperCollins Publishers
The Burglar Who Liked to Quote Kipling (Bernie Rhodenbarr  #3),3.66,3.83,Fiction,Lawrence Block,3.83,60731257,9780060731250,eng,304,2473,138,1/3/2005,HarperCollins Publishers
The Burglar Who Traded Ted Williams (Bernie Rhodenbarr  #6),3.77,3.89,Fiction,Lawrence Block,3.89,60731443,9780060731441,eng,384,2190,98,10/25/2005,HarperCollins Publishers
The OK Book,3.87,3.96,Non Fiction,Amy Krouse Rosenthal/Tom Lichtenheld,3.96,61152552,9780061152559,en-US,40,1019,189,4/24/2007,HarperCollins Publishers
The Beauty Myth,3.78,3.89,Fiction,Naomi Wolf,3.89,60512180,9780060512187,eng,368,16760,909,9/24/2002,HarperCollins Publishers
How to Read Literature Like a Professor,3.72,3.65,Non Fiction,Thomas C. Foster,3.65,006000942X,9780060009427,eng,314,16550,1826,11/14/2014,HarperCollins Publishers
Reading Like a Writer: A Guide for People Who Love Books and for Those Who Want to Write Them,3.91,3.77,Non Fiction,Francine Prose,3.77,60777052,9780060777050,eng,297,7914,1094,10/4/2007,HarperCollins Publishers
After,3.9,3.49,Fiction,Francine Prose,3.49,60080833,9780060080839,eng,352,1782,268,11/5/2004,HarperCollins Publishers
Blue Angel,3.53,3.35,Fiction,Francine Prose,3.35,60882034,9780060882037,eng,314,2948,383,2/28/2006,HarperCollins Publishers
Household Saints,4.15,3.7,Fiction,Francine Prose,3.7,60507276,9780060507275,en-US,272,370,47,1/4/2003,HarperCollins Publishers
Sacred Games (Sacred Games),4.15,3.93,Fiction,Vikram Chandra,3.93,61130354,9780061130359,eng,916,5983,724,9/1/2007,HarperCollins Publishers
Dear Genius: The Letters of Ursula Nordstrom,3.49,4.4,Non Fiction,Ursula Nordstrom/Leonard S. Marcus/Maurice Sendak,4.4,64462358,9780064462358,eng,406,533,112,3/31/2000,HarperCollins Publishers
The Rocky Road to Romance (Elsie Hawkins #4),3.99,3.67,Fiction,Janet Evanovich,3.67,60598891,9780060598891,eng,249,9669,315,11/29/2011,HarperCollins Publishers
Love Overboard,4.01,3.65,Fiction,Janet Evanovich,3.65,60598840,9780060598846,eng,244,11448,338,1/2/2005,HarperCollins Publishers
Back to the Bedroom (Elsie Hawkins #1),4.39,3.68,Fiction,Janet Evanovich,3.68,60598859,9780060598853,eng,234,10077,486,2/25/2014,HarperCollins Publishers
